政黨,派別,1999參選,1999當選,2003參選,2003當選,2007參選,2007當選,2011參選,2011當選,2015參選
民建聯,建,176,83,204,63,177,116,169,128,170
工聯會,建,1,1,3,0,4,1,33,19,51
自由黨,建,35,16,25,12,56,14,24,9,19
新民黨,建,未成立,未成立,未成立,未成立,未成立,未成立,12,4,42
經民聯,建,未成立,未成立,未成立,未成立,未成立,未成立,0,0,15
民主黨,泛,172,86,121,95,107,58,132,47,95
民協,泛,32,19,37,25,37,17,26,15,25
街工,泛,3,2,5,4,5,4,6,5,6
公民黨,泛,,,,,42,8,41,7,25
工黨,泛,未成立,未成立,未成立,未成立,未成立,未成立,未成立,未成立,12
社民連,泛,未成立,未成立,未成立,未成立,30,6,28,0,5
新民主同盟,泛,未成立,未成立,未成立,未成立,未成立,未成立,10,8,16
人民力量,泛,未成立,未成立,未成立,未成立,未成立,未成立,61,1,9